#f	df	vin	dvin	vout	dout
10.04	0.01	4.00	0.1	4.00	0.1
33.12	0.01	3.80	0.1	3.02	0.09
70.05	0.01	3.48	0.1	1.90	0.05
116.7	0.1	3.36	0.1	1.23	0.04
240.8	0.1	3.26	0.1	0.596	0.02
557.4	0.1	3.28	0.1	0.119	0.004
865.1	0.1	2.80	0.08	0.356	0.01
1531	1	2.74	0.08	0.760	0.02
3178	1	2.56	0.08	1.384	0.04
7482	1	2.30	0.07	1.90	0.05
20880	10	2.26	0.07	2.22	0.07
17.32	0.01	3.72	0.1	3.42	0.1
310.2	0.1	2.76	0.08	0.234	0.007
380.1	0.1	2.74	0.08	0.112	0.003
470.9	0.1	2.70	0.08	0.544	0.002
628.0	0.1	2.62	0.08	0.208	0.006

