#f(hz)	#df	#V_in	#dVin	#V_out	#dV_out
0.268	0.001	4.08	0.1	0.68	0.02
0.564	0.001	3.92	0.1	0.322	0.01
1.694	0.001	4.04	0.1	0.1136	0.01
4.888	0.001	4.12	0.1	0.0512	0.003
8.933	0.001	4.12	0.1	0.0428	0.003
15.38	0.01	4.08	0.1	0.0396	0.003
30.15	0.01	4.08	0.1	0.0420	0.003
70.28	0.01	4.00	0.1	0.068	0.004
101.94	0.01	4.12	0.1	0.092	0.005
208.7	0.1	4.08	0.1	0.182	0.01
313.3	0.1	4.04	0.1	0.268	0.01
573.5	0.1	4.04	0.1	0.488	0.02
900.9	0.1	4.00	0.1	0.736	0.02
1300	1	3.92	0.1	1.04	0.03
7670	1	3.20	0.1	2.66	0.07
23490	1	3.00	0.1	2.86	0.07
