#f	df	vin	dvin	vout	dvout	
1.653	0.001	4.0	0.1	3.8	0.1
5.314	0.001	4.0	0.1	3.6	0.1
10.80	0.01	3.9	0.1	3.4	0.1
32.57	0.01	3.28	0.09	1.80	0.05
63.29	0.01	3.5	0.1	1.60	0.05
19.28	0.01	3.9	0.1	2.92	0.08
38.98	0.01	3.6	0.1	1.84	0.05
46.17	0.01	3.6	0.1	1.68	0.05
56.74	0.01	3.5	0.1	1.7	0.05
80.16	0.01	3.4	0.1	2.12	0.06
100.5	0.1	3.4	0.1	2.42	0.07
187.7	0.1	3.4	0.1	2.92	0.09
319.3	0.1	3.32	0.09	3.10	0.09
500.6	0.1	3.22	0.09	3.20	0.09
25.67	0.01	2.46	0.07	3.8	0.1
150.5	0.1	3.30	0.09	2.80	0.08
