#f(hz)	#df	#V_in	#dVin	#V_out	#dV_out
10.005	0.001	4.00	0.1	3.92	0.1
17.91	0.01	3.00	0.1	2.84	0.1
33.14	0.01	3.92	0.1	3.22	0.1
70.83	0.01	3.6	0.1	1.960	0.06
115.60	0.01	3.42	0.1	1.260	0.05
250.52	0.01	3.36	0.1	0.460	0.01
317.74	0.01	3.4	0.1	0.268	0.01
383.7	0.1	3.28	0.1	0.1148	0.007
474.5	0.1	3.30	0.1	0.0708	0.004
553.6	0.1	3.36	0.1	0.1136	0.007
629.2	0.1	3.32	0.1	0.204	0.01
767.1	0.1	3.32	0.1	0.336	0.01
865.4	0.1	3.34	0.1	0.424	0.01
1518	1	3.36	0.1	0.920	0.03
3117	1	3.16	0.1	1.680	0.05
7561	1	3.08	0.1	2.58	0.1
