#f	df	Vin	dVin	Vout	dVout
2.662	0.001	4.08	0.12	4.00	0.12
11.63	0.01	4.04	0.12	3.96	0.12
33.12	0.01	3.96	0.12	3.44	0.10
71.93	0.01	3.80	0.11	3.04	0.09
86.02	0.01	3.76	0.11	2.44	0.07
104.8	0.1	3.72	0.11	2.28	0.07
128.1	0.1	3.72	0.11	2.16	0.06
307.9	0.1	3.64	0.10	1.96	0.06
624.1	0.1	3.64	0.10	2.02	0.06
891.5	0.1	3.56	0.10	2.18	0.06
1237	1	3.56	0.11	2.34	0.07
1621	1	3.48	0.10	2.54	0.08
2080	1	3.48	0.10	2.70	0.08
2721	1	3.52	0.11	2.94	0.08
3236	1	3.52	0.11	3.08	0.09
5625	1	3.28	0.10	3.16	0.09
10820	1	3.32	0.10	3.28	0.10
